resume_text,job_description,match_score,match_label
"Terraform Engineer with 0 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of Kubernetes, Python. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Kubernetes, AWS, Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2548,low
"Data Analyst with 1 years working across active teams. Demonstrated technical execution and history background includes: Python, ML, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Relational DB Engine, Statistical Modeling, Deep Learning Architectures, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0959,low
"DevOps Specialist with 7 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of Containerization, K8s, Self-taught concepts in Terraform, Python. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Docker, K8s, AWS, Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5537,high
"Analytics Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: Python, Worked with PostgreSQL in minor capacity, Academic projects utilizing Predictive AI, Basic understanding of AI. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Relational DB Engine, Machine Learning, Artificial Intelligence, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7035,medium
"Machine Learning Specialist with 3 years working across active teams. Demonstrated technical execution and history background includes: Python3, Led migration frameworks utilizing Predictive AI, Led migration frameworks utilizing GenAI, Kubernetes, Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Predictive AI, GenAI, Kubernetes, Docker Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7403,high
"Data Analyst with 9 years working across active teams. Demonstrated technical execution and history background includes: Exposure to Python, PgSQL, Predictive AI, Deep Learning Architectures. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Relational DB Engine, ML, GenAI, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8179,medium
"DevOps Specialist with 2 years working across active teams. Demonstrated technical execution and history background includes: Exposure to Docker Containers, Academic projects utilizing AWS, Worked with Infrastructure as Code (IaC) in minor capacity, Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Docker, K8s, AWS Cloud Platform, Infrastructure as Code (IaC), Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6321,medium
"Statistical Researcher with 2 years working across active teams. Demonstrated technical execution and history background includes: PgSQL, AI, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Lead Product Analyst with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Relational DB Engine, Machine Learning, AI, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.3112,low
"Machine Learning Specialist with 2 years working across active teams. Demonstrated technical execution and history background includes: Worked with Python in minor capacity, Containerization, Familiar with AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Statistical Modeling, GenAI, Container Orchestration Engine, Docker Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.225,low
"Full-End Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Advanced optimization execution for JS, Led migration frameworks utilizing React, Node, Architected distributed pipelines via Relational DB Engine, Subject matter expert in Typed JavaScript, Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Developer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: JS, React.js, Server-side Runtime, PgSQL, TypeScript, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.899,high
"DevOps Specialist with 6 years working across active teams. Demonstrated technical execution and history background includes: Exposure to Docker Containers, AWS, Infrastructure as Code (IaC), Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Container Orchestration Engine, Amazon Web Services, Terraform, Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6645,medium
"Analytics Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: Python, Self-taught concepts in Relational DB Engine, Self-taught concepts in AI, Academic projects utilizing AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python, PostgreSQL, Machine Learning, Deep Learning Architectures, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6011,high
"Data Analyst with 7 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Subject matter expert in Postgres, Predictive AI, Artificial Intelligence, Subject matter expert in Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Relational DB Engine, Machine Learning, Deep Learning Architectures, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8514,high
"Terraform Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Containerization, Kubernetes, Basic understanding of Infrastructure as Code (IaC), Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, K8s, Amazon Web Services, Terraform, Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7967,medium
"Analytics Engineer with 1 years working across active teams. Demonstrated technical execution and history background includes: Worked with Py3 Engine in minor capacity, ML, Academic projects utilizing GenAI, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Postgres, ML, Artificial Intelligence, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4014,low
"Deep Learning Practitioner with 10 years working across active teams. Demonstrated technical execution and history background includes: Self-taught concepts in Python, Artificial Intelligence, Academic projects utilizing Kubernetes, Docker Containers, Academic projects utilizing AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Statistical Modeling, Deep Learning Architectures, Container Orchestration Engine, Docker, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8003,medium
"Software Systems Developer with 7 years working across active teams. Demonstrated technical execution and history background includes: JS, React, Node.js, Exposure to Typed JavaScript, Self-taught concepts in OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, React.js, NodeJS, PgSQL, TS, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4306,low
"Statistical Researcher with 3 years working across active teams. Demonstrated technical execution and history background includes: Theoretical knowledge of Py3 Engine, ML, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Relational DB Engine, Machine Learning, Artificial Intelligence, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0555,low
"Statistical Researcher with 8 years working across active teams. Demonstrated technical execution and history background includes: PostgreSQL, Machine Learning, AI, Basic understanding of Amazon Web Services. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Postgres, ML, GenAI, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8199,low
"Systems Automation Developer with 4 years working across active teams. Demonstrated technical execution and history background includes: K8s, AWS Cloud Platform, Exposure to Terraform, Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, Container Orchestration Engine, Amazon Web Services, Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8438,medium
"Data Analyst with 7 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Familiar with Postgres, Machine Learning, Deep Learning Architectures. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Relational DB Engine, Statistical Modeling, GenAI, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8436,medium
"Terraform Engineer with 0 years working across active teams. Demonstrated technical execution and history background includes: Docker, Exposure to K8s, Infrastructure as Code (IaC), Familiar with Python. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Containerization, K8s, Cloud Infrastructure (AWS), Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.4068,medium
"AI Engineer with 7 years working across active teams. Demonstrated technical execution and history background includes: ML, Production-grade engineering in GenAI, Container Orchestration Engine, Led migration frameworks utilizing OCI Containers, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a AI Infrastructure Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, Artificial Intelligence, K8s, Docker, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7004,high
"Analytics Engineer with 0 years working across active teams. Demonstrated technical execution and history background includes: Theoretical knowledge of Python3, PostgreSQL, Machine Learning. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Data Scientist with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python, PgSQL, ML, AI, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.1502,low
"Terraform Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, Self-taught concepts in K8s, Infrastructure as Code (IaC). Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Container Orchestration Engine, AWS Cloud Platform, Terraform, Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0,low
"ML Engineer with 3 years working across active teams. Demonstrated technical execution and history background includes: Python, Statistical Modeling, Container Orchestration Engine, Docker, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Machine Learning, GenAI, Kubernetes, Docker Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7993,high
"Terraform Engineer with 1 years working across active teams. Demonstrated technical execution and history background includes: Containerization, Kubernetes, AWS, Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Kubernetes, AWS Cloud Platform, Terraform, Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7736,medium
"ML Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: Statistical Modeling, GenAI, Theoretical knowledge of Kubernetes, Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Machine Learning, Deep Learning Architectures, K8s, Docker Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.1084,low
"Data Analyst with 4 years working across active teams. Demonstrated technical execution and history background includes: Self-taught concepts in Python, PgSQL, Machine Learning, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Lead Product Analyst with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, PostgreSQL, ML, Artificial Intelligence, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7008,medium
"Full-End Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: Production-grade engineering in ECMAScript, React, Server-side Runtime, Relational DB Engine, Production-grade engineering in Typed JavaScript, OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Modern JS, ReactJS, Server-side Runtime, PgSQL, TS, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8201,high
"Terraform Engineer with 2 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, Production-grade engineering in Amazon Web Services, Infrastructure as Code (IaC), Led migration frameworks utilizing Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Site Reliability Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Docker, K8s, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7574,high
"DevOps Specialist with 4 years working across active teams. Demonstrated technical execution and history background includes: Container Orchestration Engine, Led migration frameworks utilizing Amazon Web Services, Infrastructure as Code (IaC), Subject matter expert in Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Kubernetes, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6869,high
"AI Engineer with 8 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Predictive AI, GenAI, K8s, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Statistical Modeling, AI, Kubernetes, Docker Containers, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7463,medium
"ML Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Academic projects utilizing Py3 Engine, Theoretical knowledge of ML, K8s, Self-taught concepts in Docker Containers, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, GenAI, K8s, Docker, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.3951,low
"Deep Learning Practitioner with 1 years working across active teams. Demonstrated technical execution and history background includes: Python, GenAI, K8s, Docker, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python, Statistical Modeling, GenAI, Kubernetes, OCI Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.349,medium
"Cloud Engineer with 1 years working across active teams. Demonstrated technical execution and history background includes: Docker Containers, Cloud Infrastructure (AWS), Production-grade engineering in Infrastructure as Code (IaC), Advanced optimization execution for Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, K8s, AWS Cloud Platform, Terraform, Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7353,high
"UI Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: JS, Academic projects utilizing Node.js, Exposure to PgSQL, TS, Docker. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, React, NodeJS, PgSQL, TS, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7136,medium
"ML Engineer with 10 years working across active teams. Demonstrated technical execution and history background includes: Architected distributed pipelines via Python3, Led migration frameworks utilizing Machine Learning, Subject matter expert in AI, Architected distributed pipelines via Kubernetes, Docker, AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a AI Infrastructure Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Statistical Modeling, AI, Kubernetes, Containerization, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9553,high
"Machine Learning Specialist with 0 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, GenAI, Self-taught concepts in Kubernetes, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a AI Infrastructure Architect with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Statistical Modeling, AI, K8s, Docker Containers, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.226,low
"Terraform Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: OCI Containers, Worked with Kubernetes in minor capacity, Self-taught concepts in Cloud Infrastructure (AWS), Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Container Orchestration Engine, AWS, Terraform, Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7088,medium
"Full-End Engineer with 8 years working across active teams. Demonstrated technical execution and history background includes: JavaScript, Frontend React Framework, NodeJS, Advanced optimization execution for Relational DB Engine, Typed JavaScript, Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Full Stack Developer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Modern JS, ReactJS, NodeJS, Postgres, TS, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9223,high
"ML Engineer with 1 years working across active teams. Demonstrated technical execution and history background includes: Theoretical knowledge of Machine Learning, GenAI, Containerization, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, GenAI, K8s, Containerization, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.0159,low
"Full-End Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: Subject matter expert in Modern JS, Advanced optimization execution for ReactJS, Led migration frameworks utilizing Postgres, Subject matter expert in TypeScript, Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, Frontend React Framework, Node.js, PostgreSQL, Typed JavaScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8321,high
"Cloud Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: Kubernetes, Familiar with AWS Cloud Platform, Theoretical knowledge of Terraform, Py3 Engine. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Container Orchestration Engine, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.79,medium
"Machine Learning Specialist with 10 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Predictive AI, Advanced optimization execution for GenAI, Container Orchestration Engine, Containerization, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, GenAI, Kubernetes, OCI Containers, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.912,high
"Full-End Engineer with 4 years working across active teams. Demonstrated technical execution and history background includes: React.js, Server-side Runtime, Postgres, TS, Familiar with Docker. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Developer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: JS, Frontend React Framework, Node.js, PgSQL, TS, OCI Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6862,medium
"Statistical Researcher with 2 years working across active teams. Demonstrated technical execution and history background includes: Python, Postgres, Statistical Modeling, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Lead Product Analyst with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, PgSQL, Machine Learning, Deep Learning Architectures, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6859,medium
"React Developer with 7 years working across active teams. Demonstrated technical execution and history background includes: Modern JS, React.js, Server-side Runtime, Typed JavaScript, OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Software Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, React.js, Node.js, PgSQL, Typed JavaScript, OCI Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7482,medium
"Statistical Researcher with 7 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Advanced optimization execution for Relational DB Engine, ML, GenAI, Architected distributed pipelines via AWS Cloud Platform. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, PostgreSQL, Statistical Modeling, Artificial Intelligence, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9219,high
"Software Engineer with 7 years working across active teams. Demonstrated technical execution and history background includes: JS, React, NodeJS, Led migration frameworks utilizing PostgreSQL, Production-grade engineering in TS, Subject matter expert in OCI Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, ReactJS, NodeJS, Relational DB Engine, TypeScript, OCI Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.9787,high
"Software Engineer with 6 years working across active teams. Demonstrated technical execution and history background includes: JS, ReactJS, Server-side Runtime, PostgreSQL, Basic understanding of Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Server-Side Developer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, Frontend React Framework, Node, PostgreSQL, TypeScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7117,medium
"Software Engineer with 8 years working across active teams. Demonstrated technical execution and history background includes: Basic understanding of ECMAScript, Node, Academic projects utilizing Docker. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Software Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: ECMAScript, React, Server-side Runtime, PgSQL, TS, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7484,medium
"Data Analyst with 5 years working across active teams. Demonstrated technical execution and history background includes: Self-taught concepts in Python, Familiar with PgSQL, Statistical Modeling, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Lead Product Analyst with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, PostgreSQL, Statistical Modeling, Deep Learning Architectures, Cloud Infrastructure (AWS). Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5185,medium
"Systems Automation Developer with 0 years working across active teams. Demonstrated technical execution and history background includes: AWS Cloud Platform, Infrastructure as Code (IaC), Python3. Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 3+ years of experience. The core technical stack requirements involve deep knowledge in: Docker Containers, Kubernetes, AWS Cloud Platform, Infrastructure as Code (IaC), Python3. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2621,low
"Deep Learning Practitioner with 5 years working across active teams. Demonstrated technical execution and history background includes: Python3, GenAI, Self-taught concepts in Kubernetes, OCI Containers, Cloud Infrastructure (AWS). Seeking an engineering position to scale architectural patterns.","We are looking for a Computer Vision Scientist with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Predictive AI, Deep Learning Architectures, Kubernetes, OCI Containers, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6691,medium
"Terraform Engineer with 5 years working across active teams. Demonstrated technical execution and history background includes: Containerization, Kubernetes, Theoretical knowledge of Infrastructure as Code (IaC). Seeking an engineering position to scale architectural patterns.","We are looking for a DevOps Cloud Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, K8s, Amazon Web Services, Infrastructure as Code (IaC), Py3 Engine. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.2741,high
"Software Systems Developer with 3 years working across active teams. Demonstrated technical execution and history background includes: JS, React, Self-taught concepts in NodeJS, Postgres, Worked with Containerization in minor capacity. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Developer with a minimum of 4+ years of experience. The core technical stack requirements involve deep knowledge in: JS, React.js, Node, Relational DB Engine, Typed JavaScript, Docker. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7464,medium
"DevOps Specialist with 3 years working across active teams. Demonstrated technical execution and history background includes: Docker Containers, K8s, Infrastructure as Code (IaC), Python. Seeking an engineering position to scale architectural patterns.","We are looking for a Infrastructure Platform Architect with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: OCI Containers, Kubernetes, Cloud Infrastructure (AWS), Infrastructure as Code (IaC), Python. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.6992,medium
"UI Engineer with 5 years working across active teams. Demonstrated technical execution and history background includes: Theoretical knowledge of React, Node.js, Relational DB Engine, TypeScript, Familiar with Docker Containers. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior Software Engineer with a minimum of 8+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, React.js, Node.js, Postgres, Typed JavaScript, Docker Containers. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.673,medium
"Machine Learning Specialist with 7 years working across active teams. Demonstrated technical execution and history background includes: Python3, Self-taught concepts in Statistical Modeling, AI, Containerization, AWS. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 7+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, ML, Artificial Intelligence, Kubernetes, OCI Containers, Amazon Web Services. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.8047,medium
"Statistical Researcher with 2 years working across active teams. Demonstrated technical execution and history background includes: Worked with PgSQL in minor capacity, Familiar with Machine Learning, Artificial Intelligence, Worked with AWS Cloud Platform in minor capacity. Seeking an engineering position to scale architectural patterns.","We are looking for a Quantitative Analytics Expert with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: Py3 Engine, Postgres, Predictive AI, AI, AWS. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.59,medium
"Machine Learning Specialist with 5 years working across active teams. Demonstrated technical execution and history background includes: Py3 Engine, Statistical Modeling, Artificial Intelligence, Kubernetes, Containerization. Seeking an engineering position to scale architectural patterns.","We are looking for a Senior ML Engineer with a minimum of 6+ years of experience. The core technical stack requirements involve deep knowledge in: Python3, Predictive AI, Deep Learning Architectures, Kubernetes, Docker, AWS Cloud Platform. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.5653,medium
"Software Systems Developer with 8 years working across active teams. Demonstrated technical execution and history background includes: Modern JS, ReactJS, NodeJS, Typed JavaScript, Exposure to Docker. Seeking an engineering position to scale architectural patterns.","We are looking for a Backend Engineer with a minimum of 5+ years of experience. The core technical stack requirements involve deep knowledge in: JavaScript, Frontend React Framework, Node, PostgreSQL, TypeScript, Containerization. Must be highly capable of executing product deliverables in a fast paced workspace environment.",0.7927,medium
